date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:46:16	17437/17437	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22557802a4-441d%22	http://bionick.kwst.net/site/fonts/bebasneue_bold-webfont.eot	C:/Users/Ujjwal/Desktop/wishy-personal-website/bionick.kwst.net/site/fonts/bebasneue_bold-webfont.eot	(from http://bionick.kwst.net/site/css/style.css)
23:46:16	313398/313398	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2254d4928e-4c836%22	http://bionick.kwst.net/site/fonts/fontawesome-webfont.svg?v=4.3.0	C:/Users/Ujjwal/Desktop/wishy-personal-website/bionick.kwst.net/site/fonts/fontawesome-webfonte0a5.svg	(from http://bionick.kwst.net/site/css/plugins.css)
23:46:17	15512/15512	---M--	200	added ('OK')	application/octet-stream	etag:%22557802a6-3c98%22	http://bionick.kwst.net/site/fonts/bebasneue_bold-webfont.woff2	C:/Users/Ujjwal/Desktop/wishy-personal-website/bionick.kwst.net/site/fonts/bebasneue_bold-webfont.woff2	(from http://bionick.kwst.net/site/css/style.css)
23:46:19	17437/17437	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22557802a4-441d%22	http://bionick.kwst.net/site/fonts/bebasneue_bold-webfont.eot?	C:/Users/Ujjwal/Desktop/wishy-personal-website/bionick.kwst.net/site/fonts/bebasneue_bold-webfontd41d.eot	(from http://bionick.kwst.net/site/css/style.css)
23:46:20	19928/19928	---M--	200	added ('OK')	application/font-woff	etag:%22557802a6-4dd8%22	http://bionick.kwst.net/site/fonts/bebasneue_bold-webfont.woff	C:/Users/Ujjwal/Desktop/wishy-personal-website/bionick.kwst.net/site/fonts/bebasneue_bold-webfont.woff	(from http://bionick.kwst.net/site/css/style.css)
23:46:22	114987/114987	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22557802a6-1c12b%22	http://bionick.kwst.net/site/fonts/bebasneue_bold-webfont.svg	C:/Users/Ujjwal/Desktop/wishy-personal-website/bionick.kwst.net/site/fonts/bebasneue_bold-webfont.svg	(from http://bionick.kwst.net/site/css/style.css)
23:46:25	49132/49132	---M--	200	added ('OK')	application/octet-stream	etag:%22557802a6-bfec%22	http://bionick.kwst.net/site/fonts/bebasneue_bold-webfont.ttf	C:/Users/Ujjwal/Desktop/wishy-personal-website/bionick.kwst.net/site/fonts/bebasneue_bold-webfont.ttf	(from http://bionick.kwst.net/site/css/style.css)
23:46:27	17512/17512	---MCZ	200	added ('OK')	text/html	etag:W/%2255826eba-4468%22	http://bionick.kwst.net/site/portfolio-single.html	C:/Users/Ujjwal/Desktop/wishy-personal-website/bionick.kwst.net/site/portfolio-single.html	(from http://bionick.kwst.net/site/portfolio.html)
23:46:31	122092/122092	---M--	200	added ('OK')	application/octet-stream	etag:%2254d4928e-1dcec%22	http://bionick.kwst.net/site/fonts/fontawesome-webfont.ttf?v=4.3.0	C:/Users/Ujjwal/Desktop/wishy-personal-website/bionick.kwst.net/site/fonts/fontawesome-webfonte0a5.ttf	(from http://bionick.kwst.net/site/css/plugins.css)
23:46:34	86277/86277	---M--	200	added ('OK')	image/jpeg	etag:%225571d830-15105%22	http://bionick.kwst.net/site/images/bg/long/2.jpg	C:/Users/Ujjwal/Desktop/wishy-personal-website/bionick.kwst.net/site/images/bg/long/2.jpg	(from http://bionick.kwst.net/site/portfolio.html)
23:47:02	173178/173178	---M--	200	added ('OK')	image/jpeg	etag:%2255796faa-2a47a%22	http://bionick.kwst.net/site/images/folio/thumbs/12.jpg	C:/Users/Ujjwal/Desktop/wishy-personal-website/bionick.kwst.net/site/images/folio/thumbs/12.jpg	(from http://bionick.kwst.net/site/portfolio.html)
23:47:13	320915/320915	---M--	200	added ('OK')	image/jpeg	etag:%2253ba8252-4e593%22	http://bionick.kwst.net/site/images/folio/thumbs/1.jpg	C:/Users/Ujjwal/Desktop/wishy-personal-website/bionick.kwst.net/site/images/folio/thumbs/1.jpg	(from http://bionick.kwst.net/site/portfolio.html)
23:47:18	320936/320936	---M--	200	added ('OK')	image/jpeg	etag:%2253ba8252-4e5a8%22	http://bionick.kwst.net/site/images/folio/thumbs/2.jpg	C:/Users/Ujjwal/Desktop/wishy-personal-website/bionick.kwst.net/site/images/folio/thumbs/2.jpg	(from http://bionick.kwst.net/site/portfolio.html)
23:47:22	322400/322400	---M--	200	added ('OK')	image/jpeg	etag:%2253ba8252-4eb60%22	http://bionick.kwst.net/site/images/folio/thumbs/3.jpg	C:/Users/Ujjwal/Desktop/wishy-personal-website/bionick.kwst.net/site/images/folio/thumbs/3.jpg	(from http://bionick.kwst.net/site/portfolio.html)
23:47:46	269471/269471	---M--	200	added ('OK')	image/jpeg	etag:%2253ba8252-41c9f%22	http://bionick.kwst.net/site/images/folio/thumbs/5.jpg	C:/Users/Ujjwal/Desktop/wishy-personal-website/bionick.kwst.net/site/images/folio/thumbs/5.jpg	(from http://bionick.kwst.net/site/portfolio.html)
23:47:59	284098/284098	---M--	200	added ('OK')	image/jpeg	etag:%2253ba8252-455c2%22	http://bionick.kwst.net/site/images/folio/thumbs/6.jpg	C:/Users/Ujjwal/Desktop/wishy-personal-website/bionick.kwst.net/site/images/folio/thumbs/6.jpg	(from http://bionick.kwst.net/site/portfolio.html)
23:48:01	262051/262051	---M--	200	added ('OK')	image/jpeg	etag:%2253ba8252-3ffa3%22	http://bionick.kwst.net/site/images/folio/thumbs/7.jpg	C:/Users/Ujjwal/Desktop/wishy-personal-website/bionick.kwst.net/site/images/folio/thumbs/7.jpg	(from http://bionick.kwst.net/site/portfolio.html)
23:48:06	121376/121376	---M--	200	added ('OK')	image/jpeg	etag:%2255796f4e-1da20%22	http://bionick.kwst.net/site/images/folio/thumbs/9.jpg	C:/Users/Ujjwal/Desktop/wishy-personal-website/bionick.kwst.net/site/images/folio/thumbs/9.jpg	(from http://bionick.kwst.net/site/portfolio.html)
23:48:09	289342/289342	---M--	200	added ('OK')	image/jpeg	etag:%2253ba8252-46a3e%22	http://bionick.kwst.net/site/images/folio/thumbs/8.jpg	C:/Users/Ujjwal/Desktop/wishy-personal-website/bionick.kwst.net/site/images/folio/thumbs/8.jpg	(from http://bionick.kwst.net/site/portfolio.html)
23:48:24	152596/152596	---M--	200	added ('OK')	image/jpeg	etag:%2255796f66-25414%22	http://bionick.kwst.net/site/images/folio/thumbs/10.jpg	C:/Users/Ujjwal/Desktop/wishy-personal-website/bionick.kwst.net/site/images/folio/thumbs/10.jpg	(from http://bionick.kwst.net/site/portfolio.html)
23:48:26	154534/154534	---M--	200	added ('OK')	image/jpeg	etag:%2255796f90-25ba6%22	http://bionick.kwst.net/site/images/folio/thumbs/11.jpg	C:/Users/Ujjwal/Desktop/wishy-personal-website/bionick.kwst.net/site/images/folio/thumbs/11.jpg	(from http://bionick.kwst.net/site/portfolio.html)
23:48:27	24357/24357	---MCZ	200	added ('OK')	text/html	etag:W/%2255826eaa-5f25%22	http://bionick.kwst.net/site/blog-single.html	C:/Users/Ujjwal/Desktop/wishy-personal-website/bionick.kwst.net/site/blog-single.html	(from http://bionick.kwst.net/site/blog.html)
